t,ue_x,ue_y,ue_vx,ue_vy,ue_speed,true_angle_deg,selected_beam_idx,selected_beam_deg,oracle_beam_idx,oracle_beam_deg,tracking_error_deg,distance,blocked,outage,snr_db,beam_gain_db,path_loss_db,blockage_loss_db,reward
0,128.0,380.0,4.0,0.0,4.0,-47.81555668421123,12,-48.0,12,-48.0,0.18444331578876927,518.2277491605404,False,False,14.276463068951786,-0.0040823204086986795,15.719454610639515,0.0,0.3710585227580714
1,131.98947730413175,380.0700434695511,3.9894773041317473,0.070043469551055,3.990092135253153,-47.51192257781105,12,-48.0,12,-48.0,0.488077422188951,515.3258702224081,False,False,14.30561085457044,-0.02858634840607338,15.665802797023487,0.0,0.3722244341828176
2,136.00159396922723,379.8401455977835,4.012116665095473,-0.2298978717675794,4.018697944083391,-47.22775698051504,13,-47.0,13,-47.0,0.22775698051503923,512.2182818166187,False,False,14.38576356068122,-0.006224789060799356,15.608011650257982,0.0,0.3554305424272488
3,139.8752718834303,379.2328930433428,3.8736779142030664,-0.6072525544406843,3.920986642142428,-46.98180743166742,13,-47.0,13,-47.0,0.018192568332580095,508.96708664419594,False,False,14.45278691138458,-3.971634510427153e-05,15.547173372270315,0.0,0.37811147645538323
4,143.34888272018742,377.42390272006475,3.4736108367571314,-1.8089903232780524,3.9164292710261233,-46.86304276954013,13,-47.0,13,-47.0,0.13695723045987052,505.1943376978951,False,False,14.52166269219461,-0.0022508739570285697,15.476086433848362,0.0,0.3808665076877844
5,146.66562923903868,375.36232311026447,3.3167465188512737,-2.061579609800263,3.905242368644518,-46.77579842211486,13,-47.0,13,-47.0,0.2242015778851396,501.3650241001911,False,False,14.59057929666502,-0.006031961703142359,15.403388741631838,0.0,0.3836231718666008
6,150.04283596693216,373.178179730417,3.3772067278934776,-2.1841433798474506,4.021940773639066,-46.69270641956314,13,-47.0,13,-47.0,0.3072935804368626,497.40882472974073,False,False,14.660971786758434,-0.011331521349324787,15.32769669189224,0.0,0.3864388714703375
7,153.6713914761983,371.4346631473628,3.6285555092661355,-1.7435165830542148,4.025700579925272,-46.5510688381832,13,-47.0,13,-47.0,0.4489311618168017,493.57398861018555,False,False,14.722065483421076,-0.024184702566022006,15.253749814012902,0.0,0.3888826193368431
8,157.19222284432226,369.4567604717575,3.5208313681239694,-1.9779026756053308,4.038360127196735,-46.43576894961336,14,-46.0,14,-46.0,0.43576894961336166,489.6586810404225,False,False,14.799556565636381,-0.022787349293655907,15.177656085069962,0.0,0.3719822626254552
9,160.69817698502175,367.38335854286424,3.5059541406994947,-2.073401928893229,4.07316952696866,-46.32797027116044,14,-46.0,14,-46.0,0.32797027116043864,485.6901975963058,False,False,14.887186814298218,-0.012907739851806195,15.099905445849975,0.0,0.3954874725719286
10,163.9837303842351,365.0110860273782,3.285553399213351,-2.372272515486021,4.052473075396403,-46.262202761305105,14,-46.0,14,-46.0,0.26220276130510456,481.67593601342253,False,False,14.971141065571436,-0.008250034564322597,15.020608899864241,0.0,0.3988456426228575
11,166.87728189986257,362.0248608036394,2.8935515156274834,-2.9862252237387916,4.158146397192372,-46.28105228864905,14,-46.0,14,-46.0,0.2810522886490503,477.5207841521545,False,False,15.052691014158,-0.00947884667458429,14.937830139167415,0.0,0.40210764056632
12,169.84498018701274,359.1801985893746,2.967698287150173,-2.8446622142648255,4.110880226523284,-46.2816462094905,14,-46.0,14,-46.0,0.28164620949050345,473.40990688008236,False,False,15.135259525219936,-0.009518950478444227,14.85522152430162,0.0,0.40541038100879745
13,173.49880014584926,357.12353853528566,3.6538199588365328,-2.056660054088928,4.192880974899869,-46.154839008433925,14,-46.0,14,-46.0,0.15483900843392462,469.34888687670826,False,False,15.22421555702436,-0.0028770142239361177,14.772907428751704,0.0,0.4089686222809743
14,177.16902727664157,355.05463640904355,3.670227130792323,-2.0689021262421177,4.213184448795614,-46.02550094924206,14,-46.0,14,-46.0,0.02550094924205837,465.26989844632084,False,False,15.310412934299794,-7.803580946952448e-05,14.689509029890736,0.0,0.4124165173719916
15,180.9749301646236,353.2007584964245,3.8059028879820156,-1.8538779126190683,4.233409985773488,-45.862966455629476,14,-46.0,14,-46.0,0.1370335443705244,461.24562232957203,False,False,15.391236956131703,-0.0022533830739298174,14.606509660794368,0.0,0.4156494782452682
16,184.55399452972205,351.1789149305257,3.5790643650984326,-2.0218435658987817,4.1106633448245,-45.73248582965786,14,-46.0,14,-46.0,0.26751417034213887,457.2702332698566,False,False,15.467607853540681,-0.008587659760061147,14.523804486699259,0.0,0.41870431414162734
17,188.19000265437984,349.33978799673923,3.6360081246577782,-1.8391269337864602,4.074670902190281,-45.57818486874655,14,-46.0,14,-46.0,0.42181513125345305,453.38444550600315,False,False,15.536383076816744,-0.02135136059452414,14.442265562588732,0.0,0.42145532307266986
